,Etot,Tamb,TambForecast,EtotPeakHour
2017-03-15,1.82,25.94,21.69,5
2017-03-16,0.642,25.57,25.94,6
2017-03-17,0.545,22.63,25.57,5
2017-03-18,0.527,28.24,22.63,15
2017-03-19,1.612,27.57,28.24,14
2017-03-20,0.4,23.48,27.57,6
2017-03-21,1.6269999999999998,15.43,23.48,5
2017-03-22,0.726,19.04,15.43,17
2017-03-23,1.635,25.49,19.04,21
2017-03-24,1.679,11.61,25.49,21
2017-03-25,1.726,18.96,11.61,0
2017-03-26,1.6009999999999998,11.18,18.96,17
2017-03-27,1.638,16.57,11.18,21
2017-03-28,1.642,8.49,16.57,19
2017-03-29,1.6149999999999998,15.16,8.49,0
2017-03-30,0.858,19.36,15.16,19
2017-03-31,2.254,8.59,19.36,12
2017-04-01,1.634,5.794,8.59,1
2017-04-02,1.64,18.76,5.794,22
2017-04-03,1.625,14.53,18.76,0
2017-04-04,2.273,6.247,14.53,14
2017-04-05,1.761,17.6,6.247,5
2017-04-06,1.655,22.12,17.6,0
2017-04-07,1.438,24.38,22.12,6
2017-04-08,0.6420000000000001,27.97,24.38,20
2017-04-09,1.6219999999999997,14.99,27.97,19
2017-04-10,2.858,16.94,14.99,9
2017-04-11,0.46,21.93,16.94,17
2017-04-12,1.769,26.22,21.93,17
2017-04-13,0.499,26.88,26.22,11
2017-04-14,0.605,26.11,26.88,5
2017-04-15,0.31,22.96,26.11,6
2017-04-16,0.364,23.66,22.96,6
2017-04-17,0.718,26.5,23.66,6
2017-04-18,1.63,25.22,26.5,22
2017-04-19,0.382,22.2,25.22,9
2017-04-20,1.6529999999999998,17.88,22.2,23
2017-04-21,1.7979999999999996,10.12,17.88,11
2017-04-22,2.059,17.91,10.12,12
2017-04-23,0.876,25.81,17.91,17
2017-04-24,0.951,19.64,25.81,14
2017-04-25,1.797,14.42,19.64,21
2017-04-26,0.351,16.41,14.42,5
2017-04-27,1.7579999999999998,14.15,16.41,20
2017-04-28,1.6279999999999997,12.11,14.15,21
2017-04-29,3.068,0.115,12.11,3
2017-04-30,3.122,17.63,0.115,4
2017-05-01,1.0949999999999998,19.7,17.63,20
2017-05-02,1.6549999999999998,17.69,19.7,10
2017-05-03,1.792,15.12,17.69,12
2017-05-04,0.975,23.72,15.12,0
2017-05-05,0.514,28.05,23.72,5
2017-05-06,0.378,29.41,28.05,6
2017-05-07,0.414,26.63,29.41,7
2017-05-08,1.655,20.05,26.63,20
2017-05-09,1.255,18.77,20.05,6
2017-05-10,1.6149999999999998,13.55,18.77,20
2017-05-11,1.504,20.18,13.55,6
2017-05-12,0.405,30.58,20.18,5
2017-05-13,0.356,31.53,30.58,6
2017-05-14,0.341,24.1,31.53,20
2017-05-15,0.353,27.82,24.1,14
2017-05-16,0.8039999999999999,22.26,27.82,19
2017-05-17,0.5519999999999999,22.74,22.26,8
2017-05-18,3.129,4.073,22.74,18
2017-05-19,1.72,5.164,4.073,4
2017-05-20,1.616,17.76,5.164,0
2017-05-21,1.615,20.26,17.76,23
2017-05-22,1.62,19.88,20.26,0
2017-05-23,0.328,18.06,19.88,5
2017-05-24,0.299,30.59,18.06,5
2017-05-25,0.329,23.98,30.59,18
2017-05-26,0.634,22.52,23.98,19
2017-05-27,1.5509999999999995,14.59,22.52,17
2017-05-28,0.763,23.52,14.59,16
2017-05-29,0.379,20.93,23.52,11
2017-05-30,0.397,25.45,20.93,13
2017-05-31,0.301,28.22,25.45,5
2017-06-01,0.7170000000000001,27.04,28.22,20
2017-06-02,0.333,24.49,27.04,20
2017-06-03,0.306,25.62,24.49,5
2017-06-04,0.544,29.97,25.62,8
2017-06-05,0.372,26.14,29.97,6
2017-06-06,0.589,24.05,26.14,7
2017-06-07,0.374,27.32,24.05,4
2017-06-08,0.38,30.03,27.32,9
2017-06-09,0.338,36.18,30.03,5
2017-06-10,0.401,34.9,36.18,5
2017-06-11,0.288,27.4,34.9,6
2017-06-12,0.354,35.32,27.4,7
2017-06-13,0.545,27.48,35.32,18
2017-06-14,0.5910000000000001,30.51,27.48,6
2017-06-15,0.343,32.48,30.51,22
2017-06-16,0.307,34.22,32.48,5
2017-06-17,0.435,27.79,34.22,17
2017-06-18,0.338,30.64,27.79,4
2017-06-19,0.31,32.3,30.64,15
2017-06-20,0.685,36.78,32.3,17
2017-06-21,0.543,36.28,36.78,11
2017-06-22,0.338,31.85,36.28,6
2017-06-23,1.005,18.32,31.85,8
2017-06-24,0.453,23.78,18.32,8
2017-06-25,0.425,24.04,23.78,18
2017-06-26,0.317,32.09,24.04,6
2017-06-27,0.335,35.9,32.09,5
2017-06-28,0.3370000000000001,29.88,35.9,7
2017-06-29,0.7510000000000001,29.41,29.88,17
2017-06-30,0.326,25.0,29.41,15
2017-07-01,0.352,31.97,25.0,7
2017-07-02,0.906,30.81,31.97,14
2017-07-03,0.323,31.73,30.81,7
2017-07-04,0.631,32.63,31.73,21
2017-07-05,0.393,38.18,32.63,13
2017-07-06,0.292,33.85,38.18,6
2017-07-07,0.32,28.81,33.85,12
2017-07-08,0.306,32.38,28.81,6
2017-07-09,0.334,34.93,32.38,16
2017-07-10,0.406,30.92,34.93,5
2017-07-11,0.377,34.41,30.92,17
2017-07-12,0.498,23.29,34.41,22
2017-07-13,0.388,31.16,23.29,6
2017-07-14,0.319,30.5,31.16,6
2017-07-15,0.463,27.54,30.5,6
2017-07-16,0.34,31.89,27.54,21
2017-07-17,0.452,34.35,31.89,8
