,units,n_back,dropout,vloss,sec_elaps
346,624,864,0.2,0.000317226629704237,1268
51,624,768,0.0,0.00031694237259216607,666
145,48,72,0.1,0.0003169200208503753,70
296,96,336,0.0,0.0003168430703226477,170
229,192,432,0.2,0.00031672947807237506,251
105,336,624,0.2,0.0003165387315675616,357
278,96,480,0.0,0.0003164432418998331,216
146,72,336,0.0,0.00031635022605769336,190
327,624,384,0.1,0.00031626783311367035,493
364,72,768,0.0,0.00031622344977222383,406
228,720,864,0.0,0.0003159621264785528,1177
362,12,192,0.2,0.0003156377642881125,185
2,336,480,0.2,0.0003154821461066,414
230,768,432,0.2,0.000315356272039935,724
17,432,432,0.1,0.0003150912525597,302
238,432,672,0.1,0.0003149698895867914,823
175,384,192,0.2,0.00031484515056945384,194
123,336,624,0.0,0.0003148336545564234,354
151,768,384,0.2,0.00031471866532228887,581
110,864,192,0.1,0.0003144563816022128,371
218,12,72,0.1,0.0003144287911709398,155
370,576,720,0.2,0.0003141504421364516,961
109,864,120,0.2,0.0003140656917821616,195
236,720,120,0.0,0.0003137977619189769,242
276,288,624,0.0,0.00031373059027828276,452
31,384,576,0.1,0.0003135065780952,468
4,672,768,0.0,0.0003133937134407,797
208,672,528,0.0,0.0003130892291665077,528
267,384,144,0.2,0.00031283270800486207,121
347,432,720,0.0,0.00031277164816856384,504
14,336,432,0.1,0.0003127096570096,344
212,480,120,0.2,0.0003126292140223086,126
57,768,624,0.1,0.0003122055495623499,681
185,192,120,0.1,0.00031218261574395,123
10,768,528,0.1,0.0003121198969893,792
147,48,384,0.1,0.00031197656062431633,195
386,144,480,0.0,0.00031170263537205756,349
136,864,24,0.1,0.0003113896236754954,161
235,672,768,0.2,0.00031118260812945664,809
331,192,720,0.2,0.0003108414530288428,491
316,768,144,0.0,0.0003102174086961895,266
58,336,24,0.2,0.00031020643655210733,80
383,288,240,0.1,0.0003098486631643027,276
101,720,480,0.2,0.00030978364520706236,668
160,720,480,0.1,0.0003097121661994606,992
5,384,672,0.0,0.0003095550346188,534
348,48,480,0.0,0.0003095444699283689,261
95,384,96,0.1,0.00030953585519455373,116
153,240,432,0.1,0.0003092256374657154,311
