,units,n_back,dropout,vloss,sec_elaps
533,24,528,0.1,0.01440128032118082,86
406,144,288,0.2,0.014386367052793503,76
471,384,768,0.2,0.014384385198354721,210
580,12,192,0.2,0.014371783472597599,95
266,144,672,0.1,0.01436382532119751,143
316,432,288,0.1,0.014355392195284367,159
203,96,288,0.2,0.014352387748658657,43
324,12,240,0.1,0.014348180033266544,77
555,384,480,0.0,0.014337335713207722,176
161,24,240,0.2,0.014328300952911377,59
98,48,384,0.2,0.0143247582018375,48
48,120,72,0.2,0.0143198175355792,33
275,24,528,0.0,0.014294110238552094,86
61,288,288,0.1,0.014288286678493,91
575,24,96,0.2,0.014220738783478737,45
318,120,432,0.2,0.01421765424311161,63
502,48,432,0.2,0.014211682602763176,81
482,72,144,0.1,0.01419626921415329,30
349,24,288,0.1,0.01407445129007101,57
